Time	Channel A
(s)	(mV)

0.03540000	86.18356000
0.03560000	86.18356000
0.03580000	86.18356000
0.03600000	86.18356000
0.03620000	86.18356000
0.03640000	86.18356000
0.03660000	86.18356000
0.03680000	86.18356000
0.03700000	86.18356000
0.03720000	86.18356000
0.03740000	86.18356000
0.03760000	86.18356000
0.03780000	86.18356000
0.03800000	86.18356000
0.03820000	86.18356000
0.03840000	86.18356000
0.03860000	86.18356000
0.03880000	86.18356000
0.03900000	86.18356000
0.03920000	86.18356000
0.03940000	86.18356000
0.03960000	86.18356000
0.03980000	86.18356000
0.04000000	86.18356000
0.04020000	86.18356000
0.04040000	86.18356000
0.04060000	86.18356000
0.04080000	86.18356000
0.04100000	86.18356000
0.04120000	86.18356000
0.04140000	86.18356000
0.04160000	86.18356000
0.04180000	86.18356000
0.04200000	86.18356000
0.04220000	86.18356000
0.04240000	86.18356000
0.04260000	86.18356000
0.04280000	86.18356000
0.04300000	86.18356000
0.04320000	86.18356000
0.04340000	86.18356000
0.04360000	86.18356000
0.04380000	86.18356000
0.04400000	86.18356000
0.04420000	86.18356000
0.04440000	86.18356000
0.04460000	86.18356000
0.04480000	86.18356000
0.04500000	86.18356000
0.04520000	86.18356000
0.04540000	86.18356000
0.04560000	86.18356000
0.04580000	86.18356000
0.04600000	86.18356000
0.04620000	86.18356000
0.04640000	86.18356000
0.04660000	86.18356000
0.04680000	86.18356000
0.04700000	86.18356000
0.04720000	86.18356000
0.04740000	86.18356000
0.04760000	86.18356000
0.04780000	86.18356000
0.04800000	86.18356000
0.04820000	86.18356000
0.04840000	86.18356000
0.04860000	86.18356000
0.04880000	86.18356000
0.04900000	86.18356000
0.04920000	86.18356000
0.04940000	86.18356000
0.04960000	86.18356000
0.04980000	86.18356000
0.05000000	86.18356000
0.05020000	86.18356000
0.05040000	86.18356000
0.05060000	86.18356000
0.05080000	86.18356000
0.05100000	86.18356000
0.05120000	86.18356000
0.05140000	86.18356000
0.05160000	86.18356000
0.05180000	86.18356000
0.05200000	86.18356000
0.05220000	86.18356000
0.05240000	86.18356000
0.05260000	86.18356000
0.05280000	86.18356000
