Time	Channel A	Channel B
(ms)	(V)	(V)

5.43999986	2.30376500	-1.91406300
5.45999986	2.30376500	-1.91406300
5.47999986	2.30376500	-1.91406300
5.49999986	2.34805600	-1.91406300
5.51999986	2.30376500	-2.00110700
5.53999986	2.30376500	-2.00110700
5.55999986	2.34805600	-2.00110700
5.57999986	2.30376500	-2.00110700
5.59999986	2.30376500	-2.00110700
5.61999986	2.34805600	-2.00110700
5.63999986	2.34805600	-2.08815200
5.65999986	2.30376500	-2.08815200
5.67999986	2.30376500	-2.08815200
5.69999986	2.30376500	-2.08815200
5.71999986	2.34805600	-2.08815200
5.73999985	2.30376500	-2.17519700
5.75999985	2.34805600	-2.17519700
5.77999985	2.34805600	-2.17519700
5.79999985	2.34805600	-2.17519700
5.81999985	2.34805600	-2.17519700
5.83999985	2.34805600	-2.26224200
5.85999985	2.39234700	-2.26224200
5.87999985	2.34805600	-2.26224200
5.89999985	2.34805600	-2.26224200
5.91999985	2.34805600	-2.26224200
5.93999985	2.34805600	-2.34928600
5.95999985	2.34805600	-2.34928600
5.97999985	2.34805600	-2.34928600
5.99999985	2.34805600	-2.34928600
6.01999985	2.34805600	-2.43633100
6.03999985	2.34805600	-2.43633100
6.05999985	2.34805600	-2.43633100
6.07999985	2.34805600	-2.43633100
6.09999985	2.34805600	-2.43633100
6.11999985	2.34805600	-2.43633100
6.13999984	2.34805600	-2.52337600
6.15999984	2.34805600	-2.52337600
6.17999984	2.34805600	-2.52337600
6.19999984	2.34805600	-2.52337600
6.21999984	2.34805600	-2.61011300
6.23999984	2.34805600	-2.61011300
6.25999984	2.30376500	-2.61011300
6.27999984	2.34805600	-2.61011300
6.29999984	2.34805600	-2.61011300
6.31999984	2.34805600	-2.69715800
6.33999984	2.39234700	-2.69715800
6.35999984	2.34805600	-2.69715800
6.37999984	2.39234700	-2.69715800
6.39999984	2.34805600	-2.69715800
6.41999984	2.34805600	-2.69715800
6.43999984	2.34805600	-2.78420300
6.45999984	2.34805600	-2.78420300
6.47999984	2.34805600	-2.78420300
6.49999984	2.39234700	-2.78420300
6.51999984	2.34805600	-2.78420300
6.53999983	2.39234700	-2.87124800
6.55999983	2.34805600	-2.78420300
6.57999983	2.39234700	-2.87124800
6.59999983	2.39234700	-2.87124800
6.61999983	2.39234700	-2.87124800
6.63999983	2.34805600	-2.87124800
6.65999983	2.39234700	-2.95829200
6.67999983	2.39234700	-2.95829200
6.69999983	2.39234700	-2.95829200
6.71999983	2.39234700	-2.95829200
6.73999983	2.39234700	-2.95829200
6.75999983	2.39234700	-3.04533700
6.77999983	2.39234700	-3.04533700
6.79999983	2.39234700	-3.04533700
6.81999983	2.39234700	-3.04533700
6.83999983	2.39234700	-3.04533700
6.85999983	2.43663900	-3.13238200
6.87999983	2.39234700	-3.13238200
6.89999983	2.43663900	-3.13238200
6.91999983	2.39234700	-3.13238200
6.93999982	2.39234700	-3.21942700
6.95999982	2.39234700	-3.21942700
6.97999982	2.43663900	-3.21942700
6.99999982	2.43663900	-3.21942700
7.01999982	2.39234700	-3.21942700
7.03999982	2.43663900	-3.30647100
7.05999982	2.43663900	-3.21942700
7.07999982	2.43663900	-3.30647100
7.09999982	2.43663900	-3.30647100
7.11999982	2.43663900	-3.30647100
7.13999982	2.43663900	-3.39351600
7.15999982	2.43663900	-3.39351600
7.17999982	2.43663900	-3.39351600
7.19999982	2.43663900	-3.39351600
7.21999982	2.39234700	-3.39351600
7.23999982	2.43663900	-3.39351600
7.25999982	2.43663900	-3.48025300
7.27999982	2.43663900	-3.48025300
7.29999982	2.43663900	-3.48025300
7.31999982	2.43663900	-3.48025300
7.33999981	2.39234700	-3.56729800
7.35999981	2.43663900	-3.56729800
7.37999981	2.43663900	-3.56729800
7.39999981	2.43663900	-3.56729800
7.41999981	2.39234700	-3.56729800
7.43999981	2.43663900	-3.56729800
7.45999981	2.43663900	-3.56729800
7.47999981	2.43663900	-3.65434300
7.49999981	2.39234700	-3.65434300
7.51999981	2.39234700	-3.65434300
7.53999981	2.39234700	-3.65434300
7.55999981	2.39234700	-3.74138800
7.57999981	2.39234700	-3.74138800
7.59999981	2.43663900	-3.74138800
7.61999981	2.43663900	-3.74138800
7.63999981	2.43663900	-3.74138800
7.65999981	2.43663900	-3.74138800
7.67999981	2.43663900	-3.82843300
7.69999981	2.39234700	-3.82843300
7.71999980	2.43663900	-3.82843300
7.73999980	2.43663900	-3.82843300
7.75999980	2.43663900	-3.82843300
7.77999980	2.43663900	-3.91547700
7.79999980	2.43663900	-3.91547700
7.81999980	2.43663900	-3.91547700
7.83999980	2.39234700	-3.91547700
7.85999980	2.43663900	-3.91547700
7.87999980	2.43663900	-4.00252200
7.89999980	2.43663900	-4.00252200
7.91999980	2.43663900	-4.00252200
7.93999980	2.43663900	-4.00252200
7.95999980	2.43663900	-4.00252200
7.97999980	2.43663900	-4.00252200
7.99999980	2.43663900	-4.08956700
8.01999980	2.48093000	-4.08956700
8.03999980	2.43663900	-4.08956700
8.05999980	2.43663900	-4.17661200
8.07999980	2.43663900	-4.08956700
8.09999980	2.43663900	-4.17661200
8.11999979	2.43663900	-4.17661200
8.13999979	2.43663900	-4.17661200
8.15999979	2.43663900	-4.17661200
8.17999979	2.43663900	-4.08956700
8.19999979	2.48093000	-4.08956700
8.21999979	2.48093000	-4.08956700
8.23999979	2.43663900	-4.08956700
8.25999979	2.43663900	-4.08956700
8.27999979	2.43663900	-4.00252200
8.29999979	2.48093000	-4.00252200
8.31999979	2.43663900	-4.00252200
8.33999979	2.48093000	-4.00252200
8.35999979	2.48093000	-4.00252200
8.37999979	2.48093000	-3.91547700
8.39999979	2.48093000	-3.91547700
8.41999979	2.48093000	-3.91547700
8.43999979	2.48093000	-3.91547700
8.45999979	2.48093000	-3.82843300
8.47999979	2.48093000	-3.82843300
8.49999979	2.43663900	-3.82843300
8.51999978	2.48093000	-3.82843300
8.53999978	2.48093000	-3.82843300
8.55999978	2.48093000	-3.82843300
8.57999978	2.48093000	-3.82843300
8.59999978	2.48093000	-3.74138800
8.61999978	2.48093000	-3.74138800
8.63999978	2.48093000	-3.74138800
8.65999978	2.52522100	-3.74138800
8.67999978	2.48093000	-3.65434300
8.69999978	2.52522100	-3.65434300
8.71999978	2.48093000	-3.65434300
8.73999978	2.43663900	-3.65434300
8.75999978	2.48093000	-3.65434300
8.77999978	2.48093000	-3.56729800
8.79999978	2.48093000	-3.56729800
8.81999978	2.48093000	-3.56729800
8.83999978	2.48093000	-3.56729800
8.85999978	2.48093000	-3.56729800
8.87999978	2.48093000	-3.48025300
8.89999978	2.48093000	-3.48025300
8.91999977	2.48093000	-3.48025300
8.93999977	2.48093000	-3.48025300
8.95999977	2.48093000	-3.48025300
8.97999977	2.48093000	-3.48025300
8.99999977	2.48093000	-3.39351600
9.01999977	2.48093000	-3.39351600
9.03999977	2.52522100	-3.39351600
9.05999977	2.48093000	-3.39351600
9.07999977	2.48093000	-3.30647100
9.09999977	2.48093000	-3.30647100
9.11999977	2.48093000	-3.30647100
9.13999977	2.48093000	-3.30647100
9.15999977	2.48093000	-3.30647100
9.17999977	2.48093000	-3.30647100
9.19999977	2.48093000	-3.21942700
9.21999977	2.48093000	-3.21942700
9.23999977	2.48093000	-3.21942700
9.25999977	2.48093000	-3.21942700
9.27999977	2.48093000	-3.13238200
9.29999977	2.48093000	-3.13238200
9.31999976	2.48093000	-3.13238200
9.33999976	2.48093000	-3.13238200
9.35999976	2.48093000	-3.13238200
9.37999976	2.43663900	-3.04533700
9.39999976	2.43663900	-3.04533700
9.41999976	2.48093000	-3.04533700
9.43999976	2.48093000	-3.04533700
9.45999976	2.48093000	-3.04533700
9.47999976	2.48093000	-3.04533700
9.49999976	2.52522100	-2.95829200
9.51999976	2.52522100	-2.95829200
9.53999976	2.52522100	-2.95829200
9.55999976	2.48093000	-2.95829200
9.57999976	2.48093000	-2.87124800
9.59999976	2.48093000	-2.87124800
9.61999976	2.48093000	-2.87124800
9.63999976	2.52522100	-2.87124800
9.65999976	2.48093000	-2.87124800
9.67999976	2.48093000	-2.78420300
9.69999975	2.48093000	-2.78420300
9.71999975	2.48093000	-2.78420300
9.73999975	2.52522100	-2.78420300
9.75999975	2.48093000	-2.78420300
9.77999975	2.48093000	-2.78420300
9.79999975	2.48093000	-2.78420300
9.81999975	2.52522100	-2.69715800
9.83999975	2.48093000	-2.69715800
9.85999975	2.48093000	-2.69715800
9.87999975	2.48093000	-2.69715800
9.89999975	2.52522100	-2.61011300
9.91999975	2.52522100	-2.61011300
9.93999975	2.52522100	-2.61011300
9.95999975	2.48093000	-2.61011300
9.97999975	2.48093000	-2.52337600
9.99999975	2.48093000	-2.61011300
10.01999975	2.52522100	-2.52337600
10.03999975	2.48093000	-2.52337600
10.05999975	2.48093000	-2.52337600
10.07999975	2.48093000	-2.43633100
10.09999974	2.48093000	-2.43633100
10.11999974	2.52522100	-2.43633100
10.13999974	2.48093000	-2.43633100
10.15999974	2.48093000	-2.43633100
10.17999974	2.48093000	-2.43633100
10.19999974	2.48093000	-2.34928600
10.21999974	2.48093000	-2.34928600
10.23999974	2.48093000	-2.34928600
10.25999974	2.48093000	-2.26224200
10.27999974	2.48093000	-2.34928600
10.29999974	2.43663900	-2.26224200
10.31999974	2.48093000	-2.26224200
